cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
11304,19378,1,150000,1000.0,0,1.2,80,60.0,1000.01,150001335.0,647.5,10.97,0.08,1040.0,285.0,73700,10210000,68,68,0,0,1,0,0,0,0,0,1,49.13,49.54,3.74,4.415389213229009
11317,25561,1,30000,300.0,0,1.25,120,45.0,300.0,9000000.0,235.6,2.56,0.06,368.0,230.0,26260,0,92,92,0,0,1,0,1,0,0,0,0,87.53,93.35,8.5,8.398968704219612
11338,23670,1,55000,625.0,0,1.25,120,40.0,625.04,34376952.5,624.17,7.61,0.12,260.0,547.6,45168,32448800,82,82,0,1,0,0,0,0,0,0,1,82.12,84.65,4.78,6.766808385849187
11339,23671,1,55000,625.0,0,1.25,120,40.0,625.04,34376952.5,549.91,6.96,0.03,358.0,341.0,39462,16400000,82,82,0,1,0,0,0,0,0,0,1,71.75,74.92,4.12,5.637606477575287
11340,23676,1,25000,120.0,0,1.25,122,30.0,120.05,3001212.5,491.4,5.01,0.03,215.5,450.0,26087,31805200,99,98,0,1,0,0,0,0,0,0,1,100.0,97.48,7.12,8.385573049751537
11341,23677,1,25000,120.0,0,1.25,128,45.0,120.05,3001212.5,541.08,5.47,0.03,216.5,395.0,23560,27343400,99,98,0,1,0,0,0,0,0,0,1,94.24,90.19,6.38,7.87715240850338
11342,25602,1,100000,1200.0,0,1.25,120,45.0,1200.0,120000000.0,1309.5,17.94,0.35,158.0,782.5,54245,51768750,99,99,0,0,1,0,0,0,0,0,1,54.24,54.4,12.15,11.76648105373385
11345,25606,1,172000,1000.0,0,1.25,120,45.0,1000.01,172001530.8,824.1,14.21,0.07,136.0,850.0,50150,57500000,75,75,0,0,1,0,0,0,0,0,1,29.16,29.95,9.82,9.027627191372583
11346,25607,1,120000,1200.0,0,1.25,120,45.0,1200.0,144000000.0,750.5,10.14,0.17,400.0,355.0,71000,15265000,64,63,0,0,1,0,0,0,0,0,1,59.17,60.11,3.93,4.89053130285879
11347,25609,1,10000,1200.0,0,1.25,120,45.0,1200.0,12000000.0,15.5,1.03,0.0,300.0,28.0,8400,1120,35,34,0,0,1,0,0,0,0,0,1,84.0,76.56,3.3,3.510406869522948
11352,23697,1,80000,800.0,0,1.25,120,45.0,1000.01,80000712.0,738.5,8.69,0.08,154.0,292.0,22484,17724400,87,87,0,1,0,0,0,0,0,0,1,28.11,29.17,5.03,7.014274943998359
